global_iteration,energy_per_site
2968,-1.99387046
2969,-1.99410244
2970,-1.99399051
2971,-1.99388580
2972,-1.99407142
2973,-1.99435213
2974,-1.99469698
2975,-1.99438111
2976,-1.99383194
2977,-1.99408610
2978,-1.99443333
2979,-1.99412505
2980,-1.99464799
2981,-1.99424705
2982,-1.99408741
2983,-1.99395044
2984,-1.99414129
2985,-1.99421042
2986,-1.99385018
2987,-1.99417678
2988,-1.99332797
2989,-1.99387444
2990,-1.99413777
2991,-1.99433815
2992,-1.99367946
2993,-1.99378048
2994,-1.99380814
2995,-1.99385894
2996,-1.99412197
2997,-1.99403433
2998,-1.99377403
2999,-1.99388731
3000,-1.99424789
