system,subset,steps,lambda,repeat_index,repeat_number,mean,std,count
tfim,early5,"1100,1200,1300,1400,1500",1e-06,5,6,0.011590573156781499,0.00227094243574495,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,5,6,0.012303057067458859,0.002126790440530741,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,5,6,0.01327997688373434,0.0021591082890894254,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,5,6,0.013949932840255733,0.002152821796516243,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,5,6,0.014521648660772107,0.002297731160309596,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,5,6,0.015097266372379306,0.0026791905936136354,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,5,6,0.009256604413672273,0.0009218122136161695,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,5,6,0.00895565623974085,0.0009157402005367275,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,5,6,0.007687252080195045,0.0008090200312117607,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,5,6,0.008274089101700898,0.0008335501942978612,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,5,6,0.009105713953677227,0.0007929485140434755,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,5,6,0.009912890771957249,0.0008747298910256924,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,5,6,0.010437021199213905,0.0008862909975689654,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,5,6,0.01055465060433999,0.0008940667984623771,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,6,7,0.01385256677077926,0.0023302638790972984,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,6,7,0.013437905309436416,0.0021722441893600886,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,6,7,0.01161106653650599,0.0019454589912034752,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,6,7,0.012219864679816912,0.001925956845105351,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,6,7,0.013056236791971293,0.002053346040444207,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,6,7,0.013807474849452692,0.002043517674697023,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,6,7,0.014475744616398495,0.0021455441789691985,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,6,7,0.015143819366914196,0.002451855673865621,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,6,7,0.009174358543974229,0.0009312553505057993,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,6,7,0.008929520840898795,0.0009120656068186387,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,6,7,0.0076488895798458596,0.0007378887332027155,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,6,7,0.00827206412604899,0.000706389938078172,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,6,7,0.009090408269695472,0.0007575127788983081,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,6,7,0.009895513252266997,0.000776014348820429,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,6,7,0.010367310185950048,0.0008045248837058043,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,6,7,0.010620223757257503,0.0008185236045468038,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,7,8,0.01388410782776354,0.0022288095272207874,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,7,8,0.013497131804287332,0.00219758536333276,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,7,8,0.011682766100915176,0.0020309448168111225,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,7,8,0.012284840234067585,0.002038646223113723,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,7,8,0.01312041949862717,0.002169868953045004,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,7,8,0.01383362774676957,0.0022716917003035198,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,7,8,0.014453939174186747,0.002503604082881063,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,7,8,0.01515364853444271,0.0027920297041596092,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,7,8,0.009308709309415667,0.0008327986620404758,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,7,8,0.009049255130663625,0.0007887270778549095,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,7,8,0.007751075051528858,0.0006756722230516181,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,7,8,0.008301914055968147,0.0007294102670281987,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,7,8,0.009123623617510235,0.0007451041779747856,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,7,8,0.009976048907476661,0.0007463207009187784,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,7,8,0.010499453863425642,0.0007451048684171907,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,7,8,0.010605650937903301,0.0007897709344286962,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,8,9,0.013852663797458123,0.0027080606927404414,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,8,9,0.013437979019000262,0.0025534687847820073,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,8,9,0.0115464182029807,0.0022098115843433583,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,8,9,0.012157323080322113,0.0021675168965776515,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,8,9,0.013052566571426078,0.00226393962686422,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,8,9,0.013741533665334187,0.002202531955466604,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,8,9,0.014379557356108606,0.00231325504827137,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,8,9,0.015071739674169743,0.0026496877865502984,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,8,9,0.009340207971571946,0.0009190406683292338,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,8,9,0.00903636879992241,0.0008564787015595465,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,8,9,0.00775207669194645,0.0007522190391292174,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,8,9,0.008356331864529483,0.0007892639642708816,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,8,9,0.00918240070995055,0.000812149900917104,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,8,9,0.009985548245926896,0.0008229910751674062,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,8,9,0.010508766427132828,0.0008754107767624662,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,8,9,0.010707143467258377,0.0009543419417975398,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,9,10,0.013733576794443578,0.002596159097224061,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,9,10,0.013293508521855051,0.002459220045913832,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,9,10,0.011538345062077274,0.002273112812215395,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,9,10,0.012258908157364839,0.0022517419375849552,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,9,10,0.013202638639173203,0.0022375513104276783,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,9,10,0.013961803001844237,0.002176597369716777,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,9,10,0.014572411678169288,0.002318506939003931,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,9,10,0.015187033948833648,0.002682680467990602,5
tfim,late5,"1600,1700,1800,1900,2000",1e-08,9,10,0.009328411881144536,0.0007569283885573515,5
tfim,late5,"1600,1700,1800,1900,2000",1e-07,9,10,0.009091157012251886,0.0008042170785541404,5
tfim,late5,"1600,1700,1800,1900,2000",1e-06,9,10,0.007734937356880309,0.0006414874153803955,5
tfim,late5,"1600,1700,1800,1900,2000",1e-05,9,10,0.008366287152082175,0.0006391508966275786,5
tfim,late5,"1600,1700,1800,1900,2000",0.0001,9,10,0.009205035148852344,0.0006215719315791966,5
tfim,late5,"1600,1700,1800,1900,2000",0.001,9,10,0.009994858074483286,0.000555657452331739,5
tfim,late5,"1600,1700,1800,1900,2000",0.01,9,10,0.01053128949370642,0.0005367580519975185,5
tfim,late5,"1600,1700,1800,1900,2000",0.1,9,10,0.010697016818360817,0.0005845620826038833,5
tfim,early5,"1100,1200,1300,1400,1500",1e-08,10,11,0.013690887387858019,0.002768785595267853,5
tfim,early5,"1100,1200,1300,1400,1500",1e-07,10,11,0.013282850408201482,0.0026373326929851957,5
tfim,early5,"1100,1200,1300,1400,1500",1e-06,10,11,0.011488002058636223,0.002247399465961152,5
tfim,early5,"1100,1200,1300,1400,1500",1e-05,10,11,0.01216586018276554,0.0021454611880684614,5
tfim,early5,"1100,1200,1300,1400,1500",0.0001,10,11,0.013118115253425638,0.0022098338423876696,5
tfim,early5,"1100,1200,1300,1400,1500",0.001,10,11,0.013776900834068812,0.002305101917841025,5
tfim,early5,"1100,1200,1300,1400,1500",0.01,10,11,0.014322026337165644,0.0024745257150727076,5
tfim,early5,"1100,1200,1300,1400,1500",0.1,10,11,0.015001162837569965,0.0026043356752027385,5
